| name                                               | title                                                 | level | facing   | categories   | description                                                                                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                                                      | remediation                                                                                                            | metadata                                                                                                                                                                                                                                               | cache_key                                                                                                     |
| public_bucket_allows_listing                       | Public Bucket Allows Listing                          | WARN  | EXTERNAL | ["SECURITY"] | Detects public storage buckets with a broad SELECT policy on `storage.objects`, which allows clients to list all files in the bucket.                                                                                                                                                    | Public bucket `avatars` has 1 broad SELECT policy on `storage.objects` (Anyone can view avatars), allowing clients to list all files. Public buckets don't need this for object URL access and it may expose more data than intended.                                       | https://supabase.com/docs/guides/database/database-linter?lint=0025_public_bucket_allows_listing                       | {"name":"avatars","type":"bucket","schema":"storage","bucket_id":"avatars","bucket_name":"avatars","policy_count":1,"policy_names":["Anyone can view avatars"]}                                                                                        | public_bucket_allows_listing_avatars                                                                          |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.claim_ai_scan_slot(p_limit integer)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/claim_ai_scan_slot`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                            | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"claim_ai_scan_slot","schema":"public","language":"plpgsql","arguments":"p_limit integer","security_definer":true}                                                                                                                             | anon_security_definer_function_executable_public_claim_ai_scan_slot_p_limit integer                           |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.decrement_follower_count(target_user_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/decrement_follower_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.            | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"decrement_follower_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                   | anon_security_definer_function_executable_public_decrement_follower_count_target_user_id uuid                 |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.decrement_following_count(target_user_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/decrement_following_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.          | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"decrement_following_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                  | anon_security_definer_function_executable_public_decrement_following_count_target_user_id uuid                |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.decrement_post_likes(post_id_input uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/decrement_post_likes`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                     | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"decrement_post_likes","schema":"public","language":"plpgsql","arguments":"post_id_input uuid","security_definer":true}                                                                                                                        | anon_security_definer_function_executable_public_decrement_post_likes_post_id_input uuid                      |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.get_my_exact_address(p_table text, p_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/get_my_exact_address`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"get_my_exact_address","schema":"public","language":"plpgsql","arguments":"p_table text, p_id uuid","security_definer":true}                                                                                                                   | anon_security_definer_function_executable_public_get_my_exact_address_p_table text, p_id uuid                 |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.increment_follower_count(target_user_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/increment_follower_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.            | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"increment_follower_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                   | anon_security_definer_function_executable_public_increment_follower_count_target_user_id uuid                 |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.increment_following_count(target_user_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/increment_following_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.          | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"increment_following_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                  | anon_security_definer_function_executable_public_increment_following_count_target_user_id uuid                |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.increment_post_likes(post_id_input uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/increment_post_likes`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                     | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"increment_post_likes","schema":"public","language":"plpgsql","arguments":"post_id_input uuid","security_definer":true}                                                                                                                        | anon_security_definer_function_executable_public_increment_post_likes_post_id_input uuid                      |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.place_bid(auction_id_input uuid, bid_amount numeric)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/place_bid`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                    | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"place_bid","schema":"public","language":"plpgsql","arguments":"auction_id_input uuid, bid_amount numeric","security_definer":true}                                                                                                            | anon_security_definer_function_executable_public_place_bid_auction_id_input uuid, bid_amount numeric          |
